ticker,shortName,sector,industry,rank,score_FINAL_adj,rating,data_completeness,score_valuation,score_profitability,score_growth,score_financial,score_momentum,score_fundamental_momentum,score_income,revenue_trend,ebitda_trend,margin_trend,debt_trend,fcf_trend,earnings_consistency,revenue_r2,ebitda_r2,revenue_cagr,ebitda_cagr,revenue_qoq,ebitda_qoq,revenue_accel,margin_accel,lastPrice,priceVs50dMA,priceVs200dMA,priceVs52wHigh,priceVs52wLow,position52w,beta,marketCap,dividendYield,liquidity_flag,trailingPE,forwardPE,priceToBook,enterpriseToEbitda,returnOnEquity,profitMargins,operatingMargins,revenueGrowth,earningsGrowth,debtToEquity,currentRatio,freeCashflow
JCI,Johnson Controls International ,Industrials,Building Products & Equipment,318,4.523731520155415,Débil,89.7,2.605633802816901,4.23943661971831,5.211267605633803,3.873239436619718,8.169014084507042,4.701408450704226,3.52112676056338,0.023454447864128567,0.048801876805715814,0.028563519379000844,-2.944741702476739e-05,0.02253610897088035,,0.9927717333665073,0.9516980436412839,0.0984076721680458,0.20796673347248218,0.023001672397791953,0.04861108148148148,,,141.4250030517578,-0.022101825512975126,0.042206722458036694,-0.09954792403057555,0.3534788310054342,0.7025870848726995,1.304,85657903104.0,1.14,False,39.833805,23.286106,6.353507,21.724,0.14332,0.14319,0.15875,0.093,0.153,70.107,1.0,2984124928.0
KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,110,5.278591921182265,Neutral,89.7,5.357142857142858,6.0,4.857142857142857,6.0,5.314285714285714,4.670000000000001,7.714285714285714,0.012731052298252448,0.04011658747508329,0.04604741725225074,-0.006732534589445632,-0.07657963013057023,,0.9971885087466217,0.8758219755770231,0.052264114629895,0.17311933577412897,0.007585648839790341,-0.005475522564591675,,,17.905000686645508,-0.05617109176064505,-0.005269450209556825,-0.11053151084721768,0.27710418592336006,0.6358429929043385,0.426,34391449600.0,4.71,False,21.064707,14.44173,3.2578242,11.994,0.15581,0.107609995,0.19418,0.03,0.085,81.617,1.005,1907500032.0
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,248,4.805736748768473,Débil,89.7,4.571428571428572,4.114285714285714,5.142857142857143,3.071428571428571,8.8,4.670000000000001,3.857142857142857,0.012731052298252448,0.04011658747508329,0.04604741725225074,-0.006732534589445632,-0.07657963013057023,,0.9971885087466217,0.8758219755770231,0.052264114629895,0.17311933577412897,0.1856704060434372,-0.01688424362025736,,,31.665000915527344,0.016643900635297193,0.0811023356633116,-0.06371966541906138,0.2727090400131569,0.7589486482692779,0.414,43090554880.0,2.89,False,31.98485,12.4927025,1.7213917,17.452,0.051,0.07103,0.12888,0.756,-0.9,99.649,0.479,4607249920.0
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,39,5.798528169761274,Neutral,89.7,4.038461538461538,7.6,8.076923076923077,4.884615384615385,8.353846153846154,4.706153846153847,4.461538461538462,0.023454447864128567,0.048801876805715814,0.028563519379000844,-2.944741702476739e-05,0.02253610897088035,,0.9927717333665073,0.9516980436412839,0.0984076721680458,0.20796673347248218,0.07357152951218428,,,,349.8699951171875,-0.007577000596845185,0.09282826131070387,-0.045375183854877266,0.2535650129601845,0.8097253445902459,0.975,930032910336.0,1.72,False,14.99036,14.001727,2.6305006,11.463000000000001,0.17789,0.34921002,0.50394,0.304,0.469,47.594,1.0255,
KEY,KeyCorp,Financial Services,Banks - Regional,205,4.934509071618037,Débil,89.7,6.846153846153847,4.553846153846154,5.076923076923077,4.884615384615385,2.7846153846153845,4.706153846153847,9.230769230769232,0.023454447864128567,0.048801876805715814,0.028563519379000844,-2.944741702476739e-05,0.02253610897088035,,0.9927717333665073,0.9516980436412839,0.0984076721680458,0.20796673347248218,0.02360781468003057,,,,20.940000534057617,-0.06903540092573546,-0.028486567038247257,-0.13003736875539607,0.27140258251715954,0.5881579650075812,1.023,22348447744.0,3.96,False,12.247134,9.801422,1.2978805,11.463000000000001,0.1033,0.2754,0.3471,0.101,0.253,47.594,1.0255,
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,326,4.503973201970443,Débil,89.7,5.0,8.142857142857142,1.857142857142857,2.5714285714285716,2.8285714285714287,4.670000000000001,8.285714285714286,0.012731052298252448,0.04011658747508329,0.04604741725225074,-0.006732534589445632,-0.07657963013057023,,0.9971885087466217,0.8758219755770231,0.052264114629895,0.17311933577412897,0.0015703889585636885,0.038794350795930035,,,98.4800033569336,-0.08771393647593773,-0.04426714753898697,-0.22180953491162703,0.06557025921806536,0.17755650034965112,0.273,32752384000.0,5.22,False,19.462452,13.164438,18.715317,11.012,1.04913,0.1179,0.19002001,0.006,-0.323,348.933,0.909,941124992.0
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,441,3.8450397372742198,Débil,89.7,3.095238095238096,4.428571428571429,3.8095238095238093,1.3095238095238093,2.904761904761904,4.823809523809524,9.761904761904761,0.023454447864128567,0.048801876805715814,0.028563519379000844,-2.944741702476739e-05,0.02253610897088035,,0.9927717333665073,0.9516980436412839,0.0984076721680458,0.20796673347248218,0.0248230584875537,0.028371628687998827,,,31.28499984741211,-0.016430040386193556,0.0018685913286282663,-0.10126400897983034,0.22207030653953552,0.6172638270805763,0.551,69665505280.0,3.84,False,20.183872,20.26375,2.2005346,13.361,0.109910004,0.19305,0.30065,0.108,0.212,98.619,0.458,1075000064.0
KEYS,Keysight Technologies Inc.,Technology,Scientific & Technical Instruments,59,5.663389520824002,Neutral,89.7,2.6298701298701297,4.311688311688311,7.922077922077922,6.753246753246753,6.454545454545455,7.567532467532468,4.220779220779221,0.07399029161841755,0.16383812010443866,0.1998768841341266,-0.004711875353577387,0.30896445723264687,,0.9972040768683221,0.9988109582091447,0.3442435304226936,0.9330945291922343,0.08114325361366623,0.1747700394218134,,,332.05499267578125,0.019336536167503526,0.130963628088284,-0.11443264355208049,1.0911580872585254,0.8015107930952581,1.208,56530620416.0,1.09,False,45.05495,23.937809,8.605805,32.383,0.20897,0.19143,0.25677,0.365,1.091,42.094,2.024,1867124992.0
KIM,Kimco Realty Corporation (HC),Real Estate,REIT - Retail,111,5.277502988505748,Neutral,89.7,6.833333333333334,5.433333333333334,4.666666666666666,6.166666666666666,4.133333333333333,4.771666666666668,7.666666666666667,0.023454447864128567,0.048801876805715814,0.028563519379000844,-2.944741702476739e-05,0.02253610897088035,,0.9927717333665073,0.9516980436412839,0.0984076721680458,0.20796673347248218,0.011855544768683578,0.015805008074344273,,,22.625,-0.08056113201719806,-0.022348782743213613,-0.1510318949343339,0.1449898785425101,0.41582002902757614,0.956,15176609792.0,4.96,False,26.30814,25.710228,1.4772134,17.616,0.05806,0.27759,0.36565,0.049,-0.058,84.993,0.971,871483392.0
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,391,4.228213166144201,Débil,89.7,1.5584415584415585,8.675324675324676,4.090909090909091,5.584415584415584,2.2077922077922083,4.779220779220781,1.8181818181818183,0.05683803857620076,0.10773810007810213,0.042403435118153955,6.216447174862654e-05,0.0447595655855442,,0.9972040768683221,0.9686443918748547,0.2547803986419861,0.4571519792485952,0.03686550154233388,0.03493776541516022,,,169.39999389648438,-0.13056691813941113,-0.024874261753895732,-0.44887271400434536,0.7268621252075433,0.3407175980488853,1.444,221302898688.0,0.55,False,46.152588,25.260277,34.866203,36.321,0.87496,0.35574,0.42486,0.152,0.138,96.88,2.876,2624587520.0
LH,Labcorp Holdings Inc.,Healthcare,Diagnostics & Research,233,4.843263641863279,Débil,89.7,5.000000000000001,3.8771929824561404,5.526315789473684,5.175438596491228,6.385964912280702,4.714035087719299,4.473684210526316,0.019451694792271483,0.025099829187149703,0.009330299824089037,0.0045345467666636635,0.02253610897088035,,0.9952439880283319,0.9466072456018746,0.08098825420660127,0.10571293560709794,0.014408773957580327,0.029649414069046826,,,322.4800109863281,0.03460714249245145,0.1622631079376069,-0.05652425106399028,0.31882877059679426,0.8013981392509057,0.851,26163668992.0,0.89,False,26.661982,16.261633,3.0323908,14.232,0.11728,0.069860004,0.1224,0.058,0.282,79.124,1.796,892049984.0
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,315,4.527006896551724,Débil,89.7,6.549295774647887,2.4225352112676055,6.056338028169014,5.633802816901408,1.295774647887324,4.701408450704226,8.732394366197182,0.023454447864128567,0.048801876805715814,0.028563519379000844,-2.944741702476739e-05,0.02253610897088035,,0.9927717333665073,0.9516980436412839,0.0984076721680458,0.20796673347248218,0.7837585450152166,0.9301025759552656,,,250.2100067138672,-0.09480700945216969,-0.2006981736783786,-0.34021568253074075,0.02226673767718257,0.04052953605910014,0.506,46585311232.0,1.99,False,25.269697,18.477282,2.3423498,14.028,0.0934,0.08172,0.12566,0.084,0.283,52.753,1.184,1608999936.0
